 1.55647263e+01 1.09759233e+01 6.40925632e+00 6.06329794e+00 1.02561207e+01 1.51328626e+01 1.62098697e+01 1.24969466e+01 7.40773771e+00 5.62123815e+00 8.77994743e+00
 1.93906331e+01 1.09557435e+01 2.56154306e+00 1.92562106e+00 9.63264121e+00 1.85968047e+01 2.05765010e+01 1.37516064e+01 4.39689759e+00 1.11305065e+00 6.91921935e+00
 1.55022306e+01 1.09762529e+01 6.47210819e+00 6.13088633e+00 1.02663051e+01 1.50762796e+01 1.61385414e+01 1.24764520e+01 7.45691937e+00 5.69487878e+00 8.81034217e+00
 7.47449802e+00 1.10185953e+01 1.45455962e+01 1.48127923e+01 1.15745247e+01 7.80804181e+00 6.97623054e+00 9.84385436e+00 1.37744331e+01 1.51542109e+01 1.27146263e+01
 2.68809571e+00 1.10438413e+01 1.93592794e+01 1.99892346e+01 1.23545289e+01 3.47447565e+00 1.51335475e+00 8.27421173e+00 1.75411459e+01 2.07941807e+01 1.50424909e+01
 5.54361988e+00 1.10287798e+01 1.64874797e+01 1.69010161e+01 1.18891855e+01 6.05984188e+00 4.77245685e+00 9.21064627e+00 1.52939593e+01 1.74294259e+01 1.36537080e+01
 1.34157148e+01 1.09872583e+01 8.57051646e+00 8.38743062e+00 1.06063290e+01 1.31871667e+01 1.37571334e+01 1.17922044e+01 9.09892630e+00 8.15348661e+00 9.82511821e+00
 1.90668126e+01 1.09574515e+01 2.88720921e+00 2.27582940e+00 9.68541181e+00 1.83036205e+01 2.02069142e+01 1.36454134e+01 4.65173173e+00 1.49461860e+00 7.07670929e+00
 1.73013202e+01 1.09667636e+01 4.66276439e+00 4.18519040e+00 9.97312093e+00 1.67051593e+01 1.81919006e+01 1.30664416e+01 6.04110573e+00 3.57495441e+00 7.93535576e+00
 9.74242301e+00 1.10066331e+01 1.22647448e+01 1.23600559e+01 1.12049379e+01 9.86140095e+00 9.56468669e+00 1.05875929e+01 1.19896643e+01 1.24818429e+01 1.16116220e+01
 3.33973633e+00 1.10404042e+01 1.87039246e+01 1.92844923e+01 1.22483359e+01 4.06446528e+00 2.25709326e+00 8.48790937e+00 1.70283300e+01 2.00263319e+01 1.47255658e+01
